30,3006,20150306,19,12.9,19.9,1,1.1056976345980492
12,1201,20150306,44,3.2,2.58,0,1.1173485201942703
20,2001,20150306,17,2.5,2.5,0,0.7521834505077933
20,2006,20150306,44,21.6,5.58,1,1.1000447460045344
12,1201,20150306,44,4.3,5.8,0,1.1384846801871573
20,2007,20150306,49,3.4,6.8,1,0.7144904143361814
22,2202,20150306,38,6.9,7.3,0,1.1117195935659359
23,2307,20150306,28,5.2,5.5,0,1.1160212495497879
15,1512,20150306,17,5.0,4.9,0,1.1173897876595418
12,1201,20150306,44,2.84,4.0,0,1.1067430214191143
12,1201,20150306,44,3.5,18.0,0,0.5882789716582071
15,1505,20150306,19,8.9,12.9,1,0.8411064836914814
12,1201,20150306,44,5.41,2.58,0,1.1084489501193575
12,1203,20150306,40,10.06,30.0,0,0.7645102358678169
12,1201,20150306,44,2.13,9.96,0,1.019664864443773
23,2305,20150306,5,7.2,1.9,0,0.3275573620602691
12,1201,20150306,44,4.72,3.96,0,1.3016308826007361
20,2013,20150306,5,6.5,6.7,0,0.8039005059658186
22,2202,20150306,49,5.0,39.6,1,1.0989839971214905
12,1201,20150306,44,3.7,2.56,0,1.0888129914617313
22,2202,20150306,17,6.5,6.9,0,0.7786104994188382
12,1201,20150306,38,4.4,4.98,0,1.1042744936753726
31,3118,20150306,53,17.0,17.0,0,0.8404768554092443
20,2002,20150306,19,13.9,17.3,0,1.1175933959447257
13,1308,20150306,44,2.5,6.0,0,1.114631562687482
23,2309,20150306,12,15.0,2.5,0,0.6025119438976453
12,1201,20150306,44,4.3,1.96,0,1.212217748814066
22,2203,20150306,17,3.8,3.9,0,0.8625849455434501
23,2316,20150306,38,13.0,14.0,0,1.0640316430168937
12,1201,20150306,44,2.86,5.6,0,1.117699883849723
12,1203,20150306,40,3.0,3.18,0,0.47439404864317214
22,2202,20150306,44,11.53,51.8,1,0.8663194901626883
12,1201,20150306,44,2.79,9.96,0,1.0332423259359316
12,1201,20150306,44,32.63,5.8,0,0.3959931373758565
20,2005,20150306,19,5.2,5.7,0,1.7331275072826087
12,1203,20150306,40,8.9,5.96,0,1.1029807589262428
31,3110,20150306,10,13.0,13.0,0,1.2140461105845217
30,3018,20150306,38,11.5,11.9,0,1.1176921121042045
